--2019-04-11 02:05:06--  http://178.157.14.138/media/nasaAstronauts.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `lead-out/nasaAstronauts.mp4'

     0K .......... .......... .......... .......... ..........  0%  405K 2h36m
    50K .......... .......... .......... .......... ..........  0%  432K 2h31m
   100K .......... .......... .......... .......... ..........  0%  535K 2h20m
   150K .......... .......... .......... .......... ..........  0%  394K 2h25m
   200K .......... .......... .......... .......... ..........  0%  566K 2h19m
   250K .......... .......... .......... .......... ..........  0%  673K 2h11m
   300K .......... .......... .......... .......... ..........  0%  662K 2h6m
   350K .......... .......... .......... .......... ..........  0%  539K 2h5m
   400K .......... .......... .......... .......... ..........  0%  534K 2h4m
   450K .......... .......... .......... .......... ..........  0%  412K 2h7m
   500K .......... .......... .......... .......... ..........  0%  683K 2h4m
   550K .......... .......... .......... .......... ..........  0%  437K 2h6m
   600K .......... .......... .......... .......... ..........  0%  401K 2h8m
   650K .......... .......... .......... .......... ..........  0%  342K 2h12m
   700K .......... .......... .......... .......... ..........  0%  416K 2h13m
   750K .......... .......... .......... .......... ..........  0%  580K 2h12m
   800K .......... .......... .......... .......... ..........  0%  739K 2h9m
   850K .......... .......... .......... .......... ..........  0%  573K 2h8m
   900K .......... .......... .......... .......... ..........  0%  801K 2h6m
   950K .......... .......... .......... .......... ..........  0%  814K 2h3m
  1000K .......... .......... .......... .......... ..........  0%  785K 2h1m
  1050K .......... .......... .......... .......... ..........  0%  761K 1h59m
  1100K .......... .......... .......... .......... ..........  0%  879K 1h57m
  1150K .......... .......... .......... .......... ..........  0%  949K 1h55m
  1200K .......... .......... .......... .......... ..........  0%  918K 1h53m
  1250K .......... .......... .......... .......... ..........  0%  878K 1h52m
  1300K .......... .......... .......... .......... ..........  0% 1,04M 1h50m
  1350K .......... .......... .......... .......... ..........  0% 1,12M 1h48m
  1400K .......... .......... .......... .......... ..........  0%  730K 1h47m
  1450K .......... .......... .......... .......... ..........  0%  944K 1h46m
  1500K .......... .......... .......... .......... ..........  0%  698K 1h45m
  1550K .......... .......... .......... .......... ..........  0%  653K 1h45m
  1600K .......... .......... .......... .......... ..........  0%  810K 1h44m
  1650K .......... .......... .......... .......... ..........  0%  748K 1h43m
  1700K .......... .......... .......... .......... ..........  0%  894K 1h42m
  1750K .......... .......... .......... .......... ..........  0%  820K 1h42m
  1800K .......... .......... .......... .......... ..........  0%  669K 1h42m
  1850K .......... .......... .......... .......... ..........  0%  585K 1h42m
  1900K .......... .......... .......... .......... ..........  0%  468K 1h43m
  1950K .......... .......... .......... .......... ..........  0%  788K 1h42m
  2000K .......... .......... .......... .......... ..........  0%  584K 1h42m
  2050K .......... .......... .......... .......... ..........  0%  760K 1h42m
  2100K .......... .......... .......... .......... ..........  0%  738K 1h41m
  2150K .......... .......... .......... .......... ..........  0%  761K 1h41m
  2200K .......... .......... .......... .......... ..........  0%  601K 1h41m
  2250K .......... .......... .......... .......... ..........  0%  568K 1h41m
  2300K .......... .......... .......... .......... ..........  0%  461K 1h42m
