--2019-04-11 07:26:23--  http://178.157.14.138/media/nasaAstronauts.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `lead-out/nasaAstronauts.mp4'

     0K .......... .......... .......... .......... ..........  0% 3,64M 17m28s
    50K .......... .......... .......... .......... ..........  0% 4,59M 15m39s
   100K .......... .......... .......... .......... ..........  0% 5,29M 14m26s
   150K .......... .......... .......... .......... ..........  0% 4,78M 14m9s
   200K .......... .......... .......... .......... ..........  0% 5,90M 13m28s
   250K .......... .......... .......... .......... ..........  0% 5,83M 13m2s
   300K .......... .......... .......... .......... ..........  0% 4,53M 13m11s
   350K .......... .......... .......... .......... ..........  0% 5,66M 12m56s
   400K .......... .......... .......... .......... ..........  0% 4,26M 13m9s
   450K .......... .......... .......... .......... ..........  0% 4,73M 13m10s
   500K .......... .......... .......... .......... ..........  0% 4,81M 13m10s
   550K .......... .......... .......... .......... ..........  0% 4,27M 13m19s
   600K .......... .......... .......... .......... ..........  0% 3,10M 13m52s
   650K .......... .......... .......... .......... ..........  0% 4,84M 13m48s
   700K .......... .......... .......... .......... ..........  0% 4,18M 13m54s
   750K .......... .......... .......... .......... ..........  0% 3,26M 14m15s
   800K .......... .......... .......... .......... ..........  0% 5,40M 14m6s
   850K .......... .......... .......... .......... ..........  0% 4,59M 14m5s
   900K .......... .......... .......... .......... ..........  0% 5,81M 13m55s
   950K .......... .......... .......... .......... ..........  0% 5,20M 13m49s
  1000K .......... .......... .......... .......... ..........  0% 4,11M 13m54s
  1050K .......... .......... .......... .......... ..........  0% 3,98M 13m59s
  1100K .......... .......... .......... .......... ..........  0% 6,04M 13m50s
  1150K .......... .......... .......... .......... ..........  0% 4,47M 13m51s
  1200K .......... .......... .......... .......... ..........  0% 5,81M 13m44s
  1250K .......... .......... .......... .......... ..........  0% 5,57M 13m38s
  1300K .......... .......... .......... .......... ..........  0% 5,14M 13m35s
  1350K .......... .......... .......... .......... ..........  0% 4,17M 13m39s
  1400K .......... .......... .......... .......... ..........  0% 4,44M 13m40s
  1450K .......... .......... .......... .......... ..........  0% 4,49M 13m41s
  1500K .......... .......... .......... .......... ..........  0% 5,78M 13m35s
  1550K .......... .......... .......... .......... ..........  0% 4,20M 13m38s
  1600K .......... .......... .......... .......... ..........  0% 4,11M 13m41s
  1650K .......... .......... .......... .......... ..........  0% 3,95M 13m45s
  1700K .......... .......... .......... .......... ..........  0% 4,30M 13m47s
  1750K .......... .......... .......... .......... ..........  0% 5,23M 13m44s
  1800K .......... .......... .......... .......... ..........  0% 5,09M 13m42s
  1850K .......... .......... .......... .......... ..........  0% 4,78M 13m41s
