--2019-04-11 07:26:23--  http://178.157.14.137/media/superGuppy.mp4
178.157.14.137:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 338496371 (323M) [video/mp4]
Kayıt yeri: `cubic-out/superGuppy.mp4'

     0K .......... .......... .......... .......... ..........  0% 3,96M 11m24s
    50K .......... .......... .......... .......... ..........  0% 5,53M 9m47s
   100K .......... .......... .......... .......... ..........  0% 6,83M 8m43s
   150K .......... .......... .......... .......... ..........  0% 4,24M 9m12s
   200K .......... .......... .......... .......... ..........  0% 5,63M 8m58s
   250K .......... .......... .......... .......... ..........  0% 5,90M 8m44s
   300K .......... .......... .......... .......... ..........  0% 5,70M 8m37s
   350K .......... .......... .......... .......... ..........  0% 6,11M 8m28s
   400K .......... .......... .......... .......... ..........  0% 7,25M 8m13s
   450K .......... .......... .......... .......... ..........  0% 6,73M 8m4s
   500K .......... .......... .......... .......... ..........  0% 6,35M 7m58s
   550K .......... .......... .......... .......... ..........  0% 10,1M 7m41s
   600K .......... .......... .......... .......... ..........  0% 6,32M 7m38s
   650K .......... .......... .......... .......... ..........  0% 9,75M 7m25s
   700K .......... .......... .......... .......... ..........  0% 6,40M 7m23s
   750K .......... .......... .......... .......... ..........  0% 9,98M 7m13s
   800K .......... .......... .......... .......... ..........  0% 6,77M 7m11s
   850K .......... .......... .......... .......... ..........  0% 9,97M 7m2s
   900K .......... .......... .......... .......... ..........  0% 10,3M 6m53s
   950K .......... .......... .......... .......... ..........  0% 6,77M 6m52s
  1000K .......... .......... .......... .......... ..........  0% 11,1M 6m44s
  1050K .......... .......... .......... .......... ..........  0% 11,4M 6m37s
  1100K .......... .......... .......... .......... ..........  0% 10,8M 6m30s
  1150K .......... .......... .......... .......... ..........  0% 7,66M 6m29s
  1200K .......... .......... .......... .......... ..........  0% 10,7M 6m23s
  1250K .......... .......... .......... .......... ..........  0% 10,8M 6m18s
  1300K .......... .......... .......... .......... ..........  0% 6,43M 6m19s
  1350K .......... .......... .......... .......... ..........  0% 27,9M 6m9s
  1400K .......... .......... .......... .......... ..........  0% 7,33M 6m9s
