--2019-04-11 09:31:29--  http://178.157.14.137/media/interview.mp4
178.157.14.137:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 1523434523 (1,4G) [video/mp4]
Kayıt yeri: `cubic-out/interview.mp4'

     0K .......... .......... .......... .......... ..........  0% 3,50M 58m7s
    50K .......... .......... .......... .......... ..........  0% 5,40M 47m52s
   100K .......... .......... .......... .......... ..........  0% 17,2M 35m52s
   150K .......... .......... .......... .......... ..........  0% 6,91M 34m15s
   200K .......... .......... .......... .......... ..........  0% 7,01M 33m11s
   250K .......... .......... .......... .......... ..........  0% 3,60M 37m3s
   300K .......... .......... .......... .......... ..........  0% 22,0M 33m5s
   350K .......... .......... .......... .......... ..........  0% 5,58M 33m30s
   400K .......... .......... .......... .......... ..........  0% 9,32M 32m12s
   450K .......... .......... .......... .......... ..........  0% 7,25M 31m47s
   500K .......... .......... .......... .......... ..........  0% 8,23M 31m8s
   550K .......... .......... .......... .......... ..........  0% 6,49M 31m9s
   600K .......... .......... .......... .......... ..........  0% 5,37M 31m39s
   650K .......... .......... .......... .......... ..........  0% 8,14M 31m10s
   700K .......... .......... .......... .......... ..........  0% 5,98M 31m22s
   750K .......... .......... .......... .......... ..........  0% 5,15M 31m52s
   800K .......... .......... .......... .......... ..........  0% 5,65M 32m6s
   850K .......... .......... .......... .......... ..........  0% 5,31M 32m27s
   900K .......... .......... .......... .......... ..........  0% 5,20M 32m47s
   950K .......... .......... .......... .......... ..........  0% 7,50M 32m30s
  1000K .......... .......... .......... .......... ..........  0% 3,20M 33m59s
  1050K .......... .......... .......... .......... ..........  0% 9,27M 33m26s
  1100K .......... .......... .......... .......... ..........  0% 4,93M 33m46s
  1150K .......... .......... .......... .......... ..........  0% 4,70M 34m9s
  1200K .......... .......... .......... .......... ..........  0% 4,37M 34m39s
  1250K .......... .......... .......... .......... ..........  0% 3,30M 35m41s
  1300K .......... .......... .......... .......... ..........  0% 4,03M 36m13s
  1350K .......... .......... .......... .......... ..........  0% 3,08M 37m17s
  1400K .......... .......... .......... .......... ..........  0% 2,34M 38m59s
  1450K .......... .......... .......... .......... ..........  0% 2,63M 40m15s
  1500K .......... .......... .......... .......... ..........  0% 2,22M 41m55s
  1550K .......... .......... .......... .......... ..........  0% 1,87M 43m59s
  1600K .......... .......... .......... .......... ..........  0% 2,69M 44m56s
  1650K .......... .......... .......... .......... ..........  0% 2,83M 45m43s
  1700K .......... .......... .......... .......... ..........  0% 2,76M 46m31s
  1750K .......... .......... .......... .......... ..........  0% 3,19M 46m59s
  1800K .......... .......... .......... .......... ..........  0% 2,67M 47m46s
  1850K .......... .......... .......... .......... ..........  0% 2,87M 48m22s
  1900K .......... .......... .......... .......... ..........  0% 4,35M 48m19s
  1950K .......... .......... .......... .......... ..........  0% 3,97M 48m24s
  2000K .......... .......... .......... .......... ..........  0% 2,89M 48m55s
  2050K .......... .......... .......... .......... ..........  0% 2,53M 49m40s
  2100K .......... .......... .......... .......... ..........  0% 2,36M 50m30s
  2150K .......... .......... .......... .......... ..........  0% 2,35M 51m19s
  2200K .......... .......... .......... .......... ..........  0% 2,76M 51m49s
  2250K .......... .......... .......... .......... ..........  0% 2,36M 52m33s
  2300K .......... .......... .......... .......... ..........  0% 2,84M 52m57s
  2350K .......... .......... .......... .......... ..........  0% 3,01M 53m15s
  2400K .......... .......... .......... .......... ..........  0% 3,02M 53m32s
  2450K .......... .......... .......... .......... ..........  0% 3,23M 53m43s
  2500K .......... .......... .......... .......... ..........  0% 3,84M 53m42s
  2550K .......... .......... .......... .......... ..........  0% 3,20M 53m53s
  2600K .......... .......... .......... .......... ..........  0% 2,63M 54m19s
  2650K .......... .......... .......... .......... ..........  0% 2,15M 55m3s
  2700K .......... .......... .......... .......... ..........  0% 2,02M 55m53s
  2750K .......... .......... .......... .......... ..........  0% 2,31M 56m27s
  2800K .......... .......... .......... .......... ..........  0% 2,66M 56m47s
  2850K .......... .......... .......... .......... ..........  0% 2,91M 57m1s
  2900K .......... .......... .......... .......... ..........  0% 3,68M 56m58s
  2950K .......... .......... .......... .......... ..........  0% 3,43M 57m1s
  3000K .......... .......... .......... .......... ..........  0% 2,27M 57m32s
  3050K .......... .......... .......... .......... ..........  0% 2,79M 57m47s
  3100K .......... .......... .......... .......... ..........  0% 1,25M 59m26s
  3150K .......... .......... .......... .......... ..........  0% 1,58M 60m31s
  3200K .......... .......... .......... .......... ..........  0% 2,28M 60m57s
  3250K .......... .......... .......... .......... ..........  0% 1,99M 61m34s
  3300K .......... .......... .......... .......... ..........  0% 2,96M 61m40s
  3350K .......... .......... .......... .......... ..........  0% 2,35M 62m2s
  3400K .......... .......... .......... .......... ..........  0% 2,54M 62m17s
  3450K .......... .......... .......... .......... ..........  0% 3,23M 62m17s
  3500K .......... .......... .......... .......... ..........  0% 2,98M 62m22s
  3550K .......... .......... .......... .......... ..........  0% 3,27M 62m21s
  3600K .......... .......... .......... .......... ..........  0% 3,07M 62m24s
  3650K .......... .......... .......... .......... ..........  0% 2,95M 62m29s
  3700K .......... .......... .......... .......... ..........  0% 3,08M 62m32s
  3750K .......... .......... .......... .......... ..........  0% 2,11M 62m58s
  3800K .......... .......... .......... .......... ..........  0% 1,58M 63m49s
  3850K .......... .......... .......... .......... ..........  0% 2,09M 64m14s
  3900K .......... .......... .......... .......... ..........  0% 1,31M 65m23s
  3950K .......... .......... .......... .......... ..........  0% 1,79M 65m59s
  4000K .......... .......... .......... .......... ..........  0% 1,52M 66m48s
  4050K .......... .......... .......... .......... ..........  0% 1,78M 67m23s
  4100K .......... .......... .......... .......... ..........  0% 2,55M 67m31s
  4150K .......... .......... .......... .......... ..........  0% 2,06M 67m53s
  4200K .......... .......... .......... .......... ..........  0% 2,00M 68m17s
  4250K .......... .......... .......... .......... ..........  0%  994K 69m51s
  4300K .......... .......... .......... .......... ..........  0% 1,15M 71m4s
  4350K .......... .......... .......... .......... ..........  0%  786K 73m11s
  4400K .......... .......... .......... .......... ..........  0% 1,37M 74m1s
  4450K .......... .......... .......... .......... ..........  0% 2,10M 74m16s
  4500K .......... .......... .......... .......... ..........  0% 2,45M 74m21s
  4550K .......... .......... .......... .......... ..........  0% 1,76M 74m47s
  4600K .......... .......... .......... .......... ..........  0% 1,54M 75m24s
  4650K .......... .......... .......... .......... ..........  0% 1,75M 75m50s
  4700K .......... .......... .......... .......... ..........  0% 2,50M 75m53s
  4750K .......... .......... .......... .......... ..........  0% 2,55M 75m55s
  4800K .......... .......... .......... .......... ..........  0% 2,41M 76m0s
  4850K .......... .......... .......... .......... ..........  0% 1,73M 76m25s
  4900K .......... .......... .......... .......... ..........  0% 1,79M 76m47s
  4950K .......... .......... .......... .......... ..........  0% 1,78M 77m9s
  5000K .......... .......... .......... .......... ..........  0% 1,68M 77m35s
  5050K .......... .......... .......... .......... ..........  0% 1,45M 78m11s
  5100K .......... .......... .......... .......... ..........  0% 1,67M 78m36s
  5150K .......... .......... .......... .......... ..........  0% 2,15M 78m45s
  5200K .......... .......... .......... .......... ..........  0% 2,32M 78m49s
