--2019-04-11 09:31:29--  http://178.157.14.138/media/interview.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 1523434523 (1,4G) [video/mp4]
Kayıt yeri: `lead-out/interview.mp4'

     0K .......... .......... .......... .......... ..........  0% 3,36M 60m23s
    50K .......... .......... .......... .......... ..........  0% 3,08M 63m10s
   100K .......... .......... .......... .......... ..........  0% 3,39M 62m6s
   150K .......... .......... .......... .......... ..........  0% 3,14M 62m44s
   200K .......... .......... .......... .......... ..........  0% 2,68M 65m22s
   250K .......... .......... .......... .......... ..........  0% 3,21M 65m1s
   300K .......... .......... .......... .......... ..........  0% 3,74M 63m28s
   350K .......... .......... .......... .......... ..........  0% 4,00M 61m52s
   400K .......... .......... .......... .......... ..........  0% 4,52M 59m59s
   450K .......... .......... .......... .......... ..........  0% 3,13M 60m28s
   500K .......... .......... .......... .......... ..........  0% 3,43M 60m21s
   550K .......... .......... .......... .......... ..........  0% 3,39M 60m19s
   600K .......... .......... .......... .......... ..........  0% 4,42M 59m12s
   650K .......... .......... .......... .......... ..........  0% 4,33M 58m20s
   700K .......... .......... .......... .......... ..........  0% 4,29M 57m36s
   750K .......... .......... .......... .......... ..........  0% 5,57M 56m16s
   800K .......... .......... .......... .......... ..........  0% 5,95M 54m58s
   850K .......... .......... .......... .......... ..........  0% 7,64M 53m23s
   900K .......... .......... .......... .......... ..........  0% 5,89M 52m23s
   950K .......... .......... .......... .......... ..........  0% 9,38M 50m51s
  1000K .......... .......... .......... .......... ..........  0% 6,58M 49m54s
  1050K .......... .......... .......... .......... ..........  0% 9,52M 48m36s
  1100K .......... .......... .......... .......... ..........  0% 6,35M 47m52s
  1150K .......... .......... .......... .......... ..........  0% 9,82M 46m44s
  1200K .......... .......... .......... .......... ..........  0% 10,6M 45m38s
  1250K .......... .......... .......... .......... ..........  0% 11,3M 44m34s
  1300K .......... .......... .......... .......... ..........  0% 9,95M 43m40s
  1350K .......... .......... .......... .......... ..........  0% 10,0M 42m50s
