--2019-04-13 15:34:32--  http://178.157.14.137/media/nasaAstronauts.mp4
178.157.14.137:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 476587036 (455M) [video/mp4]
Kayıt yeri: `cubic-out/nasaAstronauts.mp4'

     0K .......... .......... .......... .......... ..........  0% 3,71M 17m8s
    50K .......... .......... .......... .......... ..........  0% 11,7M 11m17s
   100K .......... .......... .......... .......... ..........  0% 5,31M 11m31s
   150K .......... .......... .......... .......... ..........  0% 3,93M 12m40s
   200K .......... .......... .......... .......... ..........  0% 4,36M 13m3s
   250K .......... .......... .......... .......... ..........  0% 5,33M 12m52s
   300K .......... .......... .......... .......... ..........  0% 5,98M 12m32s
   350K .......... .......... .......... .......... ..........  0% 6,16M 12m16s
   400K .......... .......... .......... .......... ..........  0% 5,77M 12m7s
   450K .......... .......... .......... .......... ..........  0% 5,69M 12m1s
   500K .......... .......... .......... .......... ..........  0% 5,59M 11m57s
   550K .......... .......... .......... .......... ..........  0% 6,77M 11m44s
   600K .......... .......... .......... .......... ..........  0% 7,76M 11m28s
   650K .......... .......... .......... .......... ..........  0% 7,49M 11m15s
   700K .......... .......... .......... .......... ..........  0% 10,3M 10m55s
   750K .......... .......... .......... .......... ..........  0% 6,54M 10m50s
   800K .......... .......... .......... .......... ..........  0% 9,35M 10m36s
   850K .......... .......... .......... .......... ..........  0% 6,56M 10m33s
   900K .......... .......... .......... .......... ..........  0% 9,18M 10m21s
   950K .......... .......... .......... .......... ..........  0% 6,80M 10m18s
  1000K .......... .......... .......... .......... ..........  0% 9,95M 10m7s
  1050K .......... .......... .......... .......... ..........  0% 9,36M 9m57s
  1100K .......... .......... .......... .......... ..........  0% 6,26M 9m58s
  1150K .......... .......... .......... .......... ..........  0% 10,5M 9m48s
  1200K .......... .......... .......... .......... ..........  0% 6,78M 9m47s
  1250K .......... .......... .......... .......... ..........  0% 6,01M 9m48s
  1300K .......... .......... .......... .......... ..........  0% 6,11M 9m50s
  1350K .......... .......... .......... .......... ..........  0% 8,87M 9m44s
  1400K .......... .......... .......... .......... ..........  0% 6,12M 9m45s
  1450K .......... .......... .......... .......... ..........  0% 10,1M 9m38s
  1500K .......... .......... .......... .......... ..........  0% 6,60M 9m38s
  1550K .......... .......... .......... .......... ..........  0% 9,94M 9m32s
  1600K .......... .......... .......... .......... ..........  0% 6,64M 9m32s
  1650K .......... .......... .......... .......... ..........  0% 9,15M 9m27s
  1700K .......... .......... .......... .......... ..........  0% 9,36M 9m22s
  1750K .......... .......... .......... .......... ..........  0% 7,36M 9m21s
  1800K .......... .......... .......... .......... ..........  0% 9,68M 9m16s
  1850K .......... .......... .......... .......... ..........  0% 10,4M 9m11s
  1900K .......... .......... .......... .......... ..........  0% 9,90M 9m7s
  1950K .......... .......... .......... .......... ..........  0% 8,44M 9m4s
  2000K .......... .......... .......... .......... ..........  0% 10,8M 9m0s
  2050K .......... .......... .......... .......... ..........  0% 10,3M 8m56s
  2100K .......... .......... .......... .......... ..........  0% 5,44M 8m59s
  2150K .......... .......... .......... .......... ..........  0% 39,4M 8m49s
  2200K .......... .......... .......... .......... ..........  0% 7,50M 8m49s
