--2019-04-13 15:34:32--  http://178.157.14.138/media/superGuppy.mp4
178.157.14.138:80 bağlanılıyor...bağlantı kuruldu.
HTTP isteği gönderildi, yanıt bekleniyor... 200 OK
Uzunluk: 338496371 (323M) [video/mp4]
Kayıt yeri: `lead-out/superGuppy.mp4'

     0K .......... .......... .......... .......... ..........  0% 2,58M 17m31s
    50K .......... .......... .......... .......... ..........  0% 21,4M 9m48s
   100K .......... .......... .......... .......... ..........  0% 6,06M 9m1s
   150K .......... .......... .......... .......... ..........  0% 10,8M 7m48s
   200K .......... .......... .......... .......... ..........  0% 6,23M 7m42s
   250K .......... .......... .......... .......... ..........  0% 6,78M 7m31s
   300K .......... .......... .......... .......... ..........  0% 7,87M 7m16s
   350K .......... .......... .......... .......... ..........  0% 7,07M 7m9s
   400K .......... .......... .......... .......... ..........  0% 6,58M 7m7s
   450K .......... .......... .......... .......... ..........  0% 6,33M 7m7s
   500K .......... .......... .......... .......... ..........  0% 5,99M 7m9s
   550K .......... .......... .......... .......... ..........  0% 4,39M 7m25s
   600K .......... .......... .......... .......... ..........  0% 4,53M 7m36s
   650K .......... .......... .......... .......... ..........  0% 4,99M 7m42s
   700K .......... .......... .......... .......... ..........  0% 3,78M 7m59s
   750K .......... .......... .......... .......... ..........  0% 4,69M 8m5s
   800K .......... .......... .......... .......... ..........  0% 4,36M 8m13s
   850K .......... .......... .......... .......... ..........  0% 4,75M 8m17s
   900K .......... .......... .......... .......... ..........  0% 5,44M 8m17s
   950K .......... .......... .......... .......... ..........  0% 4,23M 8m24s
  1000K .......... .......... .......... .......... ..........  0% 4,58M 8m28s
  1050K .......... .......... .......... .......... ..........  0% 4,60M 8m31s
  1100K .......... .......... .......... .......... ..........  0% 3,94M 8m39s
  1150K .......... .......... .......... .......... ..........  0% 5,77M 8m37s
  1200K .......... .......... .......... .......... ..........  0% 5,86M 8m34s
  1250K .......... .......... .......... .......... ..........  0% 5,56M 8m33s
  1300K .......... .......... .......... .......... ..........  0% 5,72M 8m31s
  1350K .......... .......... .......... .......... ..........  0% 5,71M 8m30s
  1400K .......... .......... .......... .......... ..........  0% 3,96M 8m36s
  1450K .......... .......... .......... .......... ..........  0% 3,49M 8m44s
  1500K .......... .......... .......... .......... ..........  0% 2,84M 8m58s
  1550K .......... .......... .......... .......... ..........  0% 3,01M 9m9s
  1600K .......... .......... .......... .......... ..........  0% 4,14M 9m12s
